"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-02-01,100.215612507408,178.6300049,-0.00556699867907207,3,NA
"2",1985-03-01,100.176914234442,183.2299957,0.0113147316624214,3,100.215612507408
"3",1985-04-01,100.145247169006,181.2700043,0.00337651161024533,3,100.176914234442
"4",1985-05-01,100.11697639805,178.3699951,-0.00811881602283326,3,100.145247169006
"5",1985-07-01,100.062443199038,192.4299927,0.00302312526223059,3,100.11697639805
"6",1985-08-01,100.035218488598,192.1100006,0.00623298979268472,3,100.062443199038
"7",1985-10-01,100.009412294069,185.0700073,0.0164213832954827,3,100.035218488598
"8",1985-11-01,100.02259450406,191.5299988,0.00900848927530307,3,100.009412294069
"9",1986-04-01,100.064595105592,235.1399994,-0.0157387802260635,3,100.02259450406
"10",1986-05-01,100.049156212311,235.1600037,-0.00152853512834283,3,100.064595105592
"11",1986-07-01,99.9767915530918,252.0399933,0.00478391411936085,2,100.049156212311
"12",1986-08-01,99.9298214692845,234.9100037,-0.00512447664369786,2,99.9767915530918
"13",1986-10-01,99.8630177491946,233.6000061,0.0098564703789028,2,99.9298214692845
"14",1986-12-01,99.9432555145729,249.0500031,-0.000682120613038517,2,99.8630177491946
"15",1987-04-01,100.646900555251,292.3800049,0.00233113702968857,4,99.9432555145729
"16",1987-05-01,100.795528616546,288.0299988,-0.00114435641804567,4,100.646900555251
"17",1987-06-01,100.899048230682,289.8299866,-0.000930780745681536,4,100.795528616546
"18",1987-07-01,100.940485197846,302.9400024,-0.0034868342105262,4,100.899048230682
"19",1987-09-01,100.784911066417,323.3999939,-0.0194056826462986,4,100.940485197846
"20",1987-10-01,100.619409087996,327.3299866,0.0170897686014446,4,100.784911066417
"21",1987-12-01,100.33580168097,232,0.00738166251461947,3,100.619409087996
"22",1988-02-01,100.267717562685,255.0399933,-0.00789673607326336,3,100.33580168097
"23",1988-03-01,100.297221300558,267.2200012,-0.0022403333718376,3,100.267717562685
"24",1988-06-01,100.483701216128,266.6900024,0.0172795187521582,3,100.297221300558
"25",1988-07-01,100.521782515401,271.7799988,-0.00628885265082268,3,100.483701216128
"26",1988-08-01,100.538745261795,272.2099915,0.000698487271830528,3,100.521782515401
"27",1988-09-01,100.542685785397,258.3500061,-0.0121213789895045,3,100.538745261795
"28",1988-11-01,100.535069853348,279.0599976,0.000322602428981078,3,100.542685785397
"29",1988-12-01,100.517437424115,272.4899902,-0.00442097897721605,3,100.535069853348
"30",1989-02-01,100.371094778719,297.0899963,-0.00127745620891873,3,100.517437424115
"31",1989-03-01,100.232132009368,287.1099854,-0.00605829844371375,3,100.371094778719
"32",1989-05-01,99.9259907747461,309.1199951,-0.001679432487664,2,100.232132009368
"33",1989-06-01,99.810436775901,321.9700012,0.0045239368830754,2,99.9259907747461
"34",1989-08-01,99.7129078724967,343.75,-0.00673250892919441,2,99.810436775901
"35",1989-09-01,99.7158455362949,353.730011,0.00648740566468531,2,99.7129078724967
"36",1989-11-01,99.7508951026147,341.2000122,0.00246805393123029,2,99.7158455362949
"37",1989-12-01,99.7784697621071,350.6300049,0.0134108350860609,2,99.7508951026147
"38",1990-02-01,99.837207946482,328.7900085,-0.00088117816885791,2,99.7784697621071
"39",1990-03-01,99.8364469156694,332.7399902,0.00256101588661672,2,99.837207946482
"40",1990-05-01,99.6128671608296,332.25,0.00438335022211866,2,99.8364469156694
"41",1990-06-01,99.3527531238973,363.1600037,0.00534283598048013,2,99.6128671608296
"42",1990-08-01,98.5629294906192,355.519989,-0.00176893137944822,1,99.3527531238973
"43",1990-10-01,97.7514135921931,314.9400024,0.0290475901139704,1,98.5629294906192
"44",1990-11-01,97.4926933564324,307.019989,0.00993417434210531,1,97.7514135921931
"45",1991-02-01,97.6490584873111,343.0499878,-0.0025586744938747,1,97.4926933564324
"46",1991-03-01,97.9422841621711,370.4700012,0.00926252167810948,1,97.6490584873111
"47",1991-04-01,98.2736777326225,371.2999878,-0.0104472399857772,1,97.9422841621711
"48",1991-05-01,98.6047844893769,380.2900085,0.0131880754750251,1,98.2736777326225
"49",1991-07-01,99.1359133333781,377.9200134,0.0182131954752969,1,98.6047844893769
"50",1991-08-01,99.2591970273927,387.1199951,-0.00177922824132992,1,99.1359133333781
"51",1991-10-01,99.2343480572678,389.2000122,0.00345492407168013,1,99.2591970273927
"52",1991-11-01,99.1651182678867,391.3200073,-0.00287936008376055,1,99.2343480572678
"53",1992-04-01,99.5831523590465,404.230011,0.00133768138123203,2,99.1651182678867
"54",1992-05-01,99.6722592572118,412.5299988,-0.00583206007675352,2,99.5831523590465
"55",1992-06-01,99.6998478678186,417.2999878,0.00469479155257435,2,99.6722592572118
"56",1992-07-01,99.6911833940303,412.8800049,0.0116136377969347,2,99.6998478678186
"57",1992-09-01,99.7151081803059,416.0700073,0.00492719973410782,2,99.6911833940303
"58",1992-10-01,99.8081882364945,416.2900085,-0.00361412001936878,2,99.7151081803059
"59",1992-12-01,100.062257980965,430.7799988,-0.00132144961617975,3,99.8081882364945
"60",1993-02-01,100.104889859957,442.519989,0.00852361140031066,3,100.062257980965
"61",1993-03-01,100.021451845672,442.0100098,-0.00308988922562947,3,100.104889859957
"62",1993-04-01,99.8988015660791,450.2999878,-0.00303324453551168,2,100.021451845672
"63",1993-06-01,99.6357181793497,453.8299866,0.00808543988226051,2,99.8988015660791
"64",1993-07-01,99.5694204482605,449.019989,-0.00335162986709414,2,99.6357181793497
"65",1993-09-01,99.67474915186,463.1499939,-0.000884467387442078,2,99.5694204482605
"66",1993-10-01,99.8428050841684,461.2799988,0.00512062000170066,2,99.67474915186
"67",1993-11-01,100.056639917508,469.1000061,0.00271470306815935,3,99.8428050841684
"68",1993-12-01,100.293491622283,461.8900146,0.0002165618531349,3,100.056639917508
"69",1994-02-01,100.696017057291,479.6199951,-0.00413195398834443,4,100.293491622283
"70",1994-03-01,100.831529352805,464.4400024,-0.00577987780026057,4,100.696017057291
"71",1994-06-01,100.95273454974,457.6300049,0.00247536670317627,4,100.831529352805
"72",1994-07-01,100.920672929715,446.2000122,0.00434425742856104,4,100.95273454974
"73",1994-08-01,100.873785627667,461.0100098,0.0060009600252926,4,100.920672929715
"74",1994-09-01,100.813175819892,473.1700134,-0.00487912857855155,4,100.873785627667
"75",1994-11-01,100.609716373946,468.4200134,-0.00832008605747314,4,100.813175819892
"76",1994-12-01,100.43607540004,448.9200134,-0.0105137626457867,3,100.609716373946
"77",1995-02-01,99.9216744130228,470.3999939,-4.25566502906261e-05,2,100.43607540004
