"","Date","Value","SP500","SP500.Returns","rank","lag_rets"
"1",1990-01-05,18.69,352.2000122,-0.00975623771829626,3,NA
"2",1990-01-12,21.92,339.9299927,-0.0246750814265919,3,-0.00975623771829626
"3",1990-01-19,24.3,339.1499939,0.002838615846676,4,-0.0246750814265919
"4",1990-01-26,25.74,325.7999878,-0.000858681340487943,4,0.002838615846676
"5",1990-02-02,25.65,330.9200134,0.00647831395399612,4,-0.000858681340487943
"6",1990-02-09,24.2,333.6199951,0.00198223094920991,4,0.00647831395399612
"7",1990-02-16,22.14,332.7200012,-0.00647977934663679,3,0.00198223094920991
"8",1990-02-23,23.23,324.1499939,-0.00475903666545818,4,-0.00647977934663679
"9",1990-03-02,22.3,335.5400085,0.00841503390775777,3,-0.00475903666545818
"10",1990-03-09,20.34,337.9299927,-0.00687688122857055,3,0.00841503390775777
"11",1990-03-16,19.44,341.9100037,0.0113585834799963,3,-0.00687688122857055
"12",1990-03-23,20.13,337.2200012,0.00455777291269133,3,0.0113585834799963
"13",1990-03-30,19.71,339.9400024,-0.00249422247953013,3,0.00455777291269133
"14",1990-04-06,21.66,340.0799866,-0.00190774037805552,3,-0.00249422247953013
"15",1990-04-20,21.92,335.1199951,-0.00878464678784707,3,-0.00190774037805552
"16",1990-04-27,21.83,329.1099854,-0.011444274440246,3,-0.00878464678784707
"17",1990-05-04,18.47,338.3900146,0.00840363333627403,3,-0.011444274440246
"18",1990-05-11,18.64,352,0.0237914970808042,3,0.00840363333627403
"19",1990-05-18,18.36,354.6400146,0.000479627047209608,3,0.0237914970808042
"20",1990-05-25,17.35,354.5799866,-0.0106861333681016,2,0.000479627047209608
"21",1990-06-01,17.66,363.1600037,0.00534283598048013,2,-0.0106861333681016
"22",1990-06-08,17.85,358.7099915,-0.0122263595610101,2,0.00534283598048013
"23",1990-06-15,16.72,362.9100037,2.75828056439664e-05,2,-0.0122263595610101
"24",1990-06-22,16.46,355.4299927,-0.0139817695875437,2,2.75828056439664e-05
"25",1990-06-29,16.21,358.019989,0.00109046806659596,2,-0.0139817695875437
"26",1990-07-06,16.51,358.4200134,0.00770361211267545,2,0.00109046806659596
"27",1990-07-13,16.88,367.3099976,0.00511710592085945,2,0.00770361211267545
"28",1990-07-20,17.3,361.6099854,-0.0101555398715223,2,0.00511710592085945
"29",1990-07-27,21.41,353.4400024,-0.00693996031109589,3,-0.0101555398715223
"30",1990-08-03,22.62,344.8599854,-0.0188347143303121,3,-0.00693996031109589
"31",1990-08-10,29.41,335.519989,-0.0130023338494865,4,-0.0188347143303121
"32",1990-08-17,25.58,327.8299866,-0.0137189079084928,4,-0.0130023338494865
"33",1990-08-24,31.26,311.5100098,0.0144923214836892,4,-0.0137189079084928
"34",1990-08-31,29.18,322.5599976,0.0120799667493323,4,0.0144923214836892
"35",1990-09-07,29.26,323.3999939,0.00917431965918292,4,0.0120799667493323
"36",1990-09-14,29.15,316.8299866,-0.00571161881324622,4,0.00917431965918292
"37",1990-09-21,28.99,311.3200073,-0.000513688501186049,4,-0.00571161881324622
"38",1990-09-28,29.07,306.0499878,0.01687871409026,4,-0.000513688501186049
"39",1990-10-05,27.72,311.5,-0.00380569378894868,4,0.01687871409026
"40",1990-10-12,31.17,300.0299988,0.0154674319077817,4,-0.00380569378894868
"41",1990-10-19,30.38,312.480011,0.0220449434684387,4,0.0154674319077817
"42",1990-10-26,28.58,304.7099915,-0.0176033196766791,4,0.0220449434684387
"43",1990-11-02,30.48,311.8500061,0.015731930405352,4,-0.0176033196766791
"44",1990-11-09,29.52,313.7399902,0.0199278472447142,4,0.015731930405352
"45",1990-11-16,23.4,317.1199951,0.000315456764462763,4,0.0199278472447142
"46",1990-11-23,20.78,315.1000061,-0.00294273551096824,3,0.000315456764462763
"47",1990-11-30,22.93,322.2200012,0.0183300282990253,3,-0.00294273551096824
"48",1990-12-07,22.09,327.75,-0.00401132668039417,3,0.0183300282990253
"49",1990-12-14,23.1,326.8200073,-0.00765163365613364,3,-0.00401132668039417
"50",1990-12-21,23.37,331.75,0.00493761336542575,4,-0.00765163365613364
"51",1990-12-28,24.52,328.7200012,0.00130979526902064,4,0.00493761336542575
"52",1991-01-04,27.03,321,-0.00282688853884783,4,0.00130979526902064
"53",1991-01-11,31.32,315.230011,0.00222558167001785,4,-0.00282688853884783
"54",1991-01-18,31.68,332.230011,0.0129890227289482,4,0.00222558167001785
"55",1991-01-25,23.64,336.0700073,0.00385330218240032,4,0.0129890227289482
"56",1991-02-01,21.91,343.0499878,-0.0025586744938747,3,0.00385330218240032
"57",1991-02-08,22.6,359.3500061,0.00793789180779969,3,-0.0025586744938747
"58",1991-02-15,21.35,369.0599976,0.013288661754032,3,0.00793789180779969
"59",1991-02-22,20.97,365.6499939,0.00186314682786048,3,0.013288661754032
"60",1991-03-01,21.43,370.4700012,0.00926252167810948,3,0.00186314682786048
"61",1991-03-08,20.74,374.9500122,-0.0025537801350084,3,0.00926252167810948
"62",1991-03-15,17.13,373.5899963,0.00024095394912993,2,-0.0025537801350084
"63",1991-03-22,16.26,367.480011,0.00245519240793168,2,0.00024095394912993
"64",1991-04-05,17.61,375.3599854,-0.0116123014659802,2,0.00245519240793168
"65",1991-04-12,18.59,380.3999939,0.00733519308332919,3,-0.0116123014659802
"66",1991-04-19,15.95,384.2000122,-0.010966327017489,2,0.00733519308332919
"67",1991-04-26,16.99,379.019989,-0.000606489123269549,2,-0.010966327017489
"68",1991-05-03,17.81,380.7999878,0.000735832040613227,2,-0.000606489123269549
"69",1991-05-10,17.57,375.7399902,-0.0195955898238747,2,0.000735832040613227
"70",1991-05-17,17.58,372.3900146,0.000537392726054353,2,-0.0195955898238747
"71",1991-05-24,16.13,377.4899902,0.00674738307380185,2,0.000537392726054353
"72",1991-05-31,15.88,389.8299866,0.00741677476494362,2,0.00674738307380185
"73",1991-06-07,16.67,379.4299927,-0.0109480805629236,2,0.00741677476494362
"74",1991-06-14,17.1,382.2900085,0.0123401306557565,2,-0.0109480805629236
"75",1991-06-21,16.47,377.75,0.00620634627040362,2,0.0123401306557565
"76",1991-06-28,18.31,371.1600037,-0.0086538201196269,3,0.00620634627040362
"77",1991-07-05,18.52,374.0799866,0.00200894658055839,3,-0.0086538201196269
"78",1991-07-12,18.98,380.25,0.00870095442491148,3,0.00200894658055839
"79",1991-07-19,16.81,384.2200012,-0.0029841293162991,2,0.00870095442491148
"80",1991-07-26,16.22,380.9299927,-7.87452768514774e-05,2,-0.0029841293162991
"81",1991-08-02,15.41,387.1799927,0.000154984502891642,2,-7.87452768514774e-05
"82",1991-08-09,15.69,387.1199951,-0.00565090968547299,2,0.000154984502891642
"83",1991-08-16,15.26,385.5799866,-0.00963193211175073,2,-0.00565090968547299
"84",1991-08-23,16.93,394.1700134,0.00725737075421962,2,-0.00963193211175073
"85",1991-08-30,14.97,395.4299927,-0.00262317072376772,2,0.00725737075421962
"86",1991-09-06,16.96,389.1000061,-0.000102812608570035,2,-0.00262317072376772
"87",1991-09-13,17.6,383.5899963,-0.00968141693556368,2,-0.000102812608570035
"88",1991-09-20,17.54,387.9200134,0.000928929203812157,2,-0.00968141693556368
"89",1991-09-27,15.95,385.8999939,-0.0015265500141276,2,0.000928929203812157
"90",1991-10-04,15.83,381.25,-0.00837516890771661,2,-0.0015265500141276
"91",1991-10-11,18.07,381.4500122,0.00236506222271382,3,-0.00837516890771661
"92",1991-10-18,15.99,392.5,0.00147985961464037,2,0.00236506222271382
"93",1991-10-25,16.17,384.2000122,-0.00225931670477308,2,0.00147985961464037
"94",1991-11-01,15.51,391.3200073,-0.00287936008376055,2,-0.00225931670477308
"95",1991-11-08,16.14,392.8900146,-0.00210806308409617,2,-0.00287936008376055
"96",1991-11-15,15.6,382.6199951,-0.0365856704599588,2,-0.00210806308409617
"97",1991-11-22,19.87,376.1400146,-0.0103141162573117,3,-0.0365856704599588
"98",1991-11-29,20.46,375.2200012,-0.00353203198271357,3,-0.0103141162573117
"99",1991-12-06,19.73,379.1000061,0.00453109895292925,3,-0.00353203198271357
"100",1991-12-13,19.43,384.4700012,0.00765302972969994,3,0.00453109895292925
"101",1991-12-20,17.83,387.0400085,0.0118164269318746,2,0.00765302972969994
"102",1991-12-27,15.86,406.4599915,0.0040015690514914,2,0.0118164269318746
"103",1992-01-03,18.66,419.3399963,0.00498486902925821,3,0.0040015690514914
"104",1992-01-10,18.86,415.1000061,-0.00601034311379289,3,0.00498486902925821
"105",1992-01-17,17.27,418.8599854,0.00155422852923404,2,-0.00601034311379289
"106",1992-01-24,16.76,415.480011,0.00125317985023132,2,0.00155422852923404
"107",1992-01-31,17.37,408.7799988,-0.00689955865557512,2,0.00125317985023132
"108",1992-02-07,18.34,411.0899963,-0.0065970976556019,3,-0.00689955865557512
"109",1992-02-14,17.62,412.480011,-0.00292487464763547,2,-0.0065970976556019
"110",1992-02-21,17.24,411.4299927,-0.00596762801740169,2,-0.00292487464763547
"111",1992-02-28,16.66,412.7000122,-0.0028028155437132,2,-0.00596762801740169
"112",1992-03-06,18.05,404.4400024,-0.00509214373593991,3,-0.0028028155437132
"113",1992-03-13,19.24,405.8399963,0.00482800175669418,3,-0.00509214373593991
"114",1992-03-20,17.06,411.2999878,0.00366032221731549,2,0.00482800175669418
"115",1992-03-27,16.31,403.5,-0.0106899072134377,2,0.00366032221731549
