Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION,Dates_SP500,SP500 Values
30-11-2020,0.08,0.13,-0.06,0,0.15,0.5,0.44,"Jan 01, 2021","3,714.24"
31-12-2020,0.28,0.06,-0.03,0.12,0.44,0.5,0.42,"Feb 01, 2021","3,811.15"
31-01-2021,0.45,0.13,0.29,0.29,1.16,0.58,0.38,"Mar 01, 2021","3,972.89"
28-02-2021,-1.17,0.22,-0.17,-0.42,-1.54,0.02,0.25,"Mar 31, 2021","4,181.17"
31-03-2021,1.03,0.32,0.62,0.24,2.21,0.61,0.39,"Apr 30, 2021","4,204.11"
30-04-2021,-0.05,0.09,-0.04,-0.08,-0.07,0.2,0.15,"May 31, 2021","4,297.50"
31-05-2021,0.27,0.12,-0.08,-0.15,0.16,0.77,0.36,"Jun 30, 2021","4,395.26"
30-06-2021,0.01,0.07,0.02,0.11,0.21,0.1,0.15,"Jul 31, 2021","4,522.68"
31-07-2021,0.3,0.37,-0.09,0.15,0.74,0.37,0.39,"Aug 31, 2021","4,307.54"
31-08-2021,-0.07,0.13,0.02,-0.05,0.04,0.33,0.26,"Sep 30, 2021","4,605.38"
30-09-2021,-0.31,0.18,0.04,0.05,-0.04,0.25,0.24,"Oct 31, 2021","4,567.00"
31-10-2021,0.48,0.26,0.06,0.05,0.85,0.28,0.25,"Dec 01, 2021","4,766.18"
30-11-2021,0.19,0.28,-0.01,0.05,0.51,0.44,0.46,"Jan 01, 2022","4,515.55"
31-12-2021,-0.09,0.24,-0.1,0.04,0.09,0.48,0.44,"Feb 01, 2022","4,373.94"
31-01-2022,0.02,0.12,0.13,0.2,0.48,0.36,0.29,"Mar 01, 2022","4,530.41"
28-02-2022,0.32,0.32,0.01,-0.16,0.5,0.35,0.24,"Mar 31, 2022","4,131.93"
31-03-2022,0.13,0.18,0.02,-0.14,0.19,0.39,0.34,"Apr 30, 2022","4,132.15"
30-04-2022,0.18,0.07,0.06,-0.1,0.21,0.3,0.3,"May 31, 2022","3,785.38"
31-05-2022,-0.19,0.06,-0.03,-0.09,-0.25,0.05,0.08,"Jun 30, 2022","4,130.29"
30-06-2022,-0.29,0,0,-0.06,-0.34,-0.13,-0.13,"Jul 31, 2022","3,955.00"
31-07-2022,0.11,0.11,-0.02,0.05,0.24,-0.12,-0.02,"Aug 31, 2022","3,585.62"
31-08-2022,-0.04,-0.04,0.05,0.21,0.18,0.03,0.14,"Sep 30, 2022","3,871.98"
30-09-2022,0,0.08,0,-0.01,0.07,0.17,0.31,"Oct 31, 2022","4,080.11"
31-10-2022,-0.01,-0.02,0.04,0,0,0.09,0.19,"Dec 01, 2022","3,839.50"
30-11-2022,-0.35,-0.03,-0.05,-0.07,-0.51,-0.14,0,"Jan 01, 2023","4,076.60"
31-12-2022,-0.43,0.02,-0.07,-0.01,-0.49,-0.33,-0.13,"Feb 01, 2023","4,079.09"
,,,,,,,,,
